Date Joined Venmo,Date First Used Pay With Venmo,Phone,Age,State,,,,,,,,,,,,,,,
7/1/16,8/20/16,Android,,GA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,38,CA,,,,,,,,,,,,,,,
7/1/16,8/1/16,iPhone,,WA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,39,CA,,,,,,,,,,,,,,,
7/1/16,8/23/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,Android,,FL,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,,NV,,,,,,,,,,,,,,,
7/1/16,7/22/16,iPhone,,MI,,,,,,,,,,,,,,,
7/1/16,9/30/16,iPhone,,GA,,,,,,,,,,,,,,,
7/1/16,8/2/16,Android,,NY,,,,,,,,,,,,,,,
7/1/16,10/19/16,Android,,VA,,,,,,,,,,,,,,,
7/1/16,7/8/16,iPhone,24,VA,,,,,,,,,,,,,,,
7/1/16,7/18/16,iPhone,27,NC,,,,,,,,,,,,,,,
7/1/16,10/17/16,iPhone,,CA,,,,,,,,,,,,,,,
7/1/16,8/18/16,iPhone,33,IN,,,,,,,,,,,,,,,
7/1/16,7/15/16,Android,,CA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,23,MA,,,,,,,,,,,,,,,
7/1/16,8/1/16,Android,,NC,,,,,,,,,,,,,,,
7/1/16,7/19/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,7/5/16,iPhone,,WA,,,,,,,,,,,,,,,
7/1/16,7/15/16,iPhone,19,KY,,,,,,,,,,,,,,,
7/1/16,7/24/16,Android,,GA,,,,,,,,,,,,,,,
7/1/16,8/4/16,iPhone,,VA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,MA,,,,,,,,,,,,,,,
7/1/16,7/6/16,Android,,UT,,,,,,,,,,,,,,,
7/1/16,7/15/16,Android,29,MD,,,,,,,,,,,,,,,
7/1/16,8/2/16,iPhone,,VA,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,24,NM,,,,,,,,,,,,,,,
7/1/16,3/10/17,iPhone,,DC,,,,,,,,,,,,,,,
7/1/16,7/7/16,iPhone,,MD,,,,,,,,,,,,,,,
7/1/16,7/15/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/11/16,iPhone,,NY,,,,,,,,,,,,,,,
7/1/16,7/6/16,iPhone,20,NC,,,,,,,,,,,,,,,
7/1/16,7/10/16,iPhone,,MO,,,,,,,,,,,,,,,
7/1/16,7/19/16,Android,,FL,,,,,,,,,,,,,,,
