Date Joined Venmo,Date First Used Pay With Venmo,Phone,Age,State
4/1/17,,iPhone,,NC
4/1/17,,Android,8,CT
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,FL
4/1/17,,iPhone,,OH
4/1/17,,iPhone,10,GA
4/1/17,,Android,9,CA
4/1/17,,iPhone,,IL
4/1/17,,iPhone,,CA
4/1/17,,Android,8,CA
4/1/17,,iPhone,,CA
4/1/17,,Android,,WI
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,NJ
4/1/17,,Android,,VA
4/1/17,,iPhone,25,TX
4/1/17,,Android,,LA
4/1/17,,iPhone,,NJ
4/1/17,,iPhone,,TX
4/1/17,,Android,25,CA
4/1/17,,Android,,CA
4/1/17,,Android,,TX
4/1/17,,Android,27,TX
4/1/17,,Android,9,MS
4/1/17,,iPhone,31,NY
4/1/17,,iPhone,,MA
4/1/17,,iPhone,,NC
4/1/17,,Android,16,CA
4/1/17,,iPhone,,FL
4/1/17,,iPhone,19,CA
4/1/17,,iPhone,,CA
4/1/17,,Android,,TX
4/1/17,,Android,,CA
4/1/17,,iPhone,,IN
4/1/17,,iPhone,,CA
4/1/17,,Android,27,NC
4/1/17,,iPhone,,FL
4/1/17,,Android,,GA
4/1/17,,Android,13,CA
4/1/17,,iPhone,,CO
4/1/17,,iPhone,12,IL
4/1/17,,Android,,MA
4/1/17,,iPhone,,TX
4/1/17,,iPhone,10,FL
4/1/17,,Android,,OR
4/1/17,,iPhone,,IL
4/1/17,,Android,23,NY
4/1/17,,iPhone,27,IL
4/1/17,,iPhone,15,NY
4/1/17,,iPhone,,CA
4/1/17,,Android,,NY
4/1/17,,Android,,AZ
4/1/17,,iPhone,,CA
4/1/17,,Android,,MD
4/1/17,,Android,,CA
4/1/17,,Android,,SD
4/1/17,,iPhone,40,NJ
4/1/17,,Android,,CA
4/1/17,,iPhone,,NY
4/1/17,,iPhone,14,CA
4/1/17,,Android,,CT
4/1/17,,iPhone,8,NY
4/1/17,,iPhone,,WA
4/1/17,,iPhone,14,DC
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,MD
4/1/17,,iPhone,27,CA
4/1/17,,iPhone,16,DC
4/1/17,,Android,,CO
4/1/17,,iPhone,,CA
4/1/17,,iPhone,9,CA
4/1/17,,Android,,CO
4/1/17,,iPhone,,MD
4/1/17,,iPhone,25,NY
4/1/17,,Android,,NJ
4/1/17,,iPhone,23,CA
4/1/17,,iPhone,,TX
4/1/17,,iPhone,,TX
4/1/17,,Android,,CA
4/1/17,,iPhone,,FL
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,TX
4/1/17,,iPhone,,NC
4/1/17,,Android,34,TX
4/1/17,,Android,,CA
4/1/17,,iPhone,,LA
4/1/17,,iPhone,,CA
4/1/17,,Android,,IA
4/1/17,,Android,23,CA
4/1/17,,Android,,NC
4/1/17,,iPhone,,NV
4/1/17,,iPhone,,TX
4/1/17,,iPhone,,CA
4/1/17,,Android,,KY
4/1/17,,iPhone,,VA
4/1/17,,Android,,CO
4/1/17,,iPhone,,FL
4/1/17,,Android,,TX
4/1/17,,iPhone,31,CA
4/1/17,,iPhone,,TX
4/1/17,,iPhone,,OH
4/1/17,,Android,,GA
4/1/17,,Android,,IN
4/1/17,,iPhone,,SC
4/1/17,,iPhone,,CA
4/1/17,,Android,19,NY
4/1/17,,iPhone,18,CA
4/1/17,,iPhone,,CA
4/1/17,,Android,,RI
4/1/17,,Android,,NJ
4/1/17,,iPhone,,GA
4/1/17,,Android,,CA
4/1/17,,iPhone,35,CA
4/1/17,,iPhone,16,NY
4/1/17,,Android,,GA
4/1/17,,iPhone,,MN
4/1/17,,Android,8,IL
4/1/17,,iPhone,,TX
4/1/17,,Android,,CA
4/1/17,,iPhone,,MI
4/1/17,,iPhone,,NY
4/1/17,,Android,,CA
4/1/17,,Android,,NJ
4/1/17,,iPhone,,SC
4/1/17,,iPhone,,IN
4/1/17,,iPhone,,CT
4/1/17,,Android,,KY
4/1/17,,Android,,VA
4/1/17,,iPhone,,KY
4/1/17,,iPhone,38,TN
4/1/17,,iPhone,,CO
4/1/17,,iPhone,,CA
4/1/17,,Android,,NJ
4/1/17,,iPhone,,CO
4/1/17,,Android,,GA
4/1/17,,iPhone,,TX
4/1/17,,Android,,WA
4/1/17,,iPhone,,NJ
4/1/17,,Android,,NJ
4/1/17,,iPhone,,NY
4/1/17,,iPhone,,NC
4/1/17,,Android,,NV
4/1/17,,iPhone,,CA
4/1/17,,iPhone,23,NY
4/1/17,,iPhone,,IL
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,CA
4/1/17,,Android,,IL
4/1/17,,iPhone,,KS
4/1/17,,Android,,GA
4/1/17,,Android,,GA
4/1/17,,iPhone,,OR
4/1/17,,iPhone,30,TN
4/1/17,,Android,,NJ
4/1/17,,iPhone,,WI
4/1/17,,Android,,CA
4/1/17,,iPhone,,NY
4/1/17,,Android,,CA
4/1/17,,iPhone,36,NJ
4/1/17,,iPhone,,FL
4/1/17,,iPhone,,NY
4/1/17,,iPhone,,RI
4/1/17,,Android,18,NC
4/1/17,,iPhone,,RI
4/1/17,,iPhone,,CA
4/1/17,,Android,,CA
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,NY
4/1/17,,Android,,MO
4/1/17,,iPhone,,CA
4/1/17,,iPhone,30,TN
4/1/17,,Android,17,AL
4/1/17,,iPhone,,MA
4/1/17,,iPhone,,TX
4/1/17,,iPhone,,MI
4/1/17,,iPhone,30,WA
4/1/17,,Android,,TX
4/1/17,,Android,,AZ
4/1/17,,iPhone,,CA
4/1/17,,Android,,OH
4/1/17,,iPhone,25,TX
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,CA
4/1/17,,Android,32,CA
4/1/17,,Android,,MI
4/1/17,,Android,,CA
4/1/17,,Android,,CA
4/1/17,,iPhone,20,NY
4/1/17,,Android,39,CA
4/1/17,,iPhone,15,CA
4/1/17,,Android,26,NY
4/1/17,,Android,,PA
4/1/17,,Android,,NY
4/1/17,,iPhone,,VA
4/1/17,,iPhone,8,NY
4/1/17,,iPhone,,OH
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,TX
4/1/17,,iPhone,,TN
4/1/17,,Android,,NY
4/1/17,,Android,37,CO
4/1/17,,iPhone,28,NY
4/1/17,,iPhone,,MN
4/1/17,,iPhone,,PA
4/1/17,,iPhone,,CA
4/1/17,,Android,14,PA
4/1/17,,iPhone,,NY
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,WA
4/1/17,,iPhone,,VT
4/1/17,,iPhone,,CA
4/1/17,,iPhone,,AZ
4/1/17,,Android,,NY
4/1/17,,Android,37,WA
4/1/17,,iPhone,,NY
4/1/17,,iPhone,18,MA
4/1/17,,iPhone,,TX
4/1/17,,iPhone,,AL
4/1/17,,iPhone,,NY
4/1/17,,Android,,SC
4/1/17,,iPhone,,MD
4/1/17,,iPhone,32,NY
4/1/17,,iPhone,,
4/1/17,,Android,,NY
4/1/17,,Android,,AZ
4/1/17,,Android,,NY
4/1/17,,Android,17,CA
4/1/17,,Android,,CA
4/1/17,,Android,,CT
4/1/17,,iPhone,18,PA
4/1/17,,Android,,AZ
4/1/17,,iPhone,,NJ
4/1/17,,Android,,NV
4/1/17,,iPhone,19,NY
4/1/17,,iPhone,,KS
4/1/17,,iPhone,,CA
4/1/17,,iPhone,16,NY
4/1/17,,Android,,FL
4/1/17,,iPhone,,NJ
4/1/17,,Android,,TX
4/1/17,,iPhone,,MD
4/1/17,,iPhone,,NJ
4/1/17,,Android,,CA
4/1/17,,iPhone,,NY
4/1/17,,Android,,CA
4/1/17,,iPhone,24,CA
4/1/17,,Android,37,IL
4/1/17,,Android,26,CA
